City,Country,Continent,Population (2024),Population (2023),Growth Rate,Population Change
Berlin,Germany,Europe,0.07773510457129396,0.07805245389297959,0.15439856373429084,2935
Asuncion,Paraguay,South America,0.07751393035924461,0.07631312978412166,0.4380610412926392,58319
Dakar,Senegal,Africa,0.07673383959119592,0.07409259641954866,0.7199281867145423,110926
Kochi,India,Asia,0.07581512651767157,0.07344868973312027,0.6732495511669659,100998
Wuxi,China,Asia,0.07558652758384513,0.07430676579994157,0.4614003590664273,61394
Busan,South Korea,Asia,0.07500022205417908,0.07525566504062473,0.1687612208258528,5470
Campinas,Brazil,South America,0.07447834661015666,0.07390776906694327,0.3267504488330341,35645
Mashhad,Iran,Asia,0.0732983933259561,0.07240106965128289,0.39497307001795334,47680
Sanaa,Yemen,Asia,0.07308615627900884,0.07033465048873398,0.7684021543985639,115317
Puebla,Mexico,North America,0.07271569016130043,0.07176785772264621,0.4057450628366248,49581
Indore,India,Asia,0.07268923615259827,0.0705973576160277,0.6373429084380611,91303
Lanzhou,China,Asia,0.07193383945920087,0.070472612864247,0.5116696588868941,68382
Kuwait City,Kuwait,Asia,0.07159538214204268,0.07047894745155439,0.44344703770197486,55843
Lusaka,Zambia,Africa,0.07078737991990595,0.06728398453987752,0.9461400359066429,142969
Kanpur,India,Asia,0.06974030165654618,0.06873490668028576,0.42908438061041293,51982
Durban,South Africa,Africa,0.06907994140189583,0.06856606661945618,0.3303411131059246,34125
Guayaquil,Ecuador,South America,0.06718633486006696,0.06622043201117608,0.43087971274685816,50801
Pyongyang,North Korea,Asia,0.06690771530063841,0.06663374326614174,0.2854578096947935,25597
Milan,Italy,Europe,0.06628887849000079,0.06655235341710126,0.17414721723518853,6061
Guatemala City,Guatemala,North America,0.06626137952045592,0.06492151254368946,0.5134649910233393,64532
Athens,Greece,Europe,0.0661227847139498,0.06654941921432252,0.1400359066427289,128
Depok,Indonesia,Asia,0.06553724915543103,0.0634442648456401,0.6840215439856374,92069
Izmir,Turkey,Asia,0.06518091750806869,0.06473819342615726,0.3249551166965889,31926
Nagpur,India,Asia,0.0647959319344406,0.06359393660981225,0.4919210053859964,59653
Surabaya,Indonesia,Asia,0.06431217006220735,0.06353157794514983,0.4021543985637343,44335
Handan,China,Asia,0.06423654789595898,0.06246199247615564,0.6211849192100539,80589
Coimbatore,India,Asia,0.06417393274230532,0.06256175537063315,0.585278276481149,74674
Huaian,China,Asia,0.06382543830126326,0.06176228109201924,0.6894075403949731,91155
Port Au Prince,Haiti,North America,0.06352627701158468,0.06196964970335485,0.5763016157989228,72714
Zhongshan,China,Asia,0.06327592639284825,0.06260667335335832,0.3806104129263914,40380
Dubai,United Arab Emirates,Asia,0.06327457894334056,0.06252160889523042,0.3985637342908438,43433
Bamako,Mali,Africa,0.06326231440292354,0.06037689862115504,0.8833034111310593,121197
Mbuji Mayi,DR Congo,Africa,0.06250018046198764,0.05934507387390234,0.9533213644524238,131109
Kiev,Ukraine,Europe,0.06242794066899329,0.06277406002402647,0.15978456014362658,3439
Lisbon,Portugal,Europe,0.0622733689611816,0.06232836284867105,0.2244165170556553,14071
Weifang,China,Asia,0.06172146464241619,0.06006005956596176,0.6122082585278277,76718
Caracas,Venezuela,South America,0.06164419253799512,0.06154981190389065,0.2585278276481149,19582
Thiruvananthapuram,India,Asia,0.06143594284163187,0.05932787999406798,0.718132854578097,93035
