Population (2023),Population Change,City_Delhi,City_Shanghai,City_Tokyo,Population (2024)
0.1332960607313064,0.0027164550396963916,0.0,0.0,0.0,0.1360125157710028
0.1325506361132244,0.0003153375665768954,0.0,0.0,0.0,0.1328659736798013
0.1260752619173605,0.005676041031939721,0.0,0.0,0.0,0.1317513029493002
0.1275697857626119,0.0034235630891231994,0.0,0.0,0.0,0.1309933488517351
0.1286727169379515,0.001937543769054112,0.0,0.0,0.0,0.1306102607070056
0.1306030110295311,-0.0005867830626336001,0.0,0.0,0.0,0.1300162279668975
0.1280479785481806,0.0019410529378370012,0.0,0.0,0.0,0.1299890314860176
0.1241070151468483,0.00463669800436059,0.0,0.0,0.0,0.1287437131512089
0.1236140142351065,0.0019342911560197157,0.0,0.0,0.0,0.1255483053911262
0.1203573233752524,0.0018843684229516988,0.0,0.0,0.0,0.1222416917982041
